sentiment,username,verified,followersCount,content,date,country,replyCount,retweetCount,likeCount,url,hashtags
,TryNotImages,FALSE,180,"""Summer Summer Summertime. Time to sit back and unwind""

model: Monique 
------
Camera: Canon EOS R5
Lens: Tamron 35mm f1.4
Light: Natural light + Godox AD300Pro w/34in Glow softbox 
------ 
#TryNotImages #beauty #sunset #winstonsalem #summertime #sunglasses #melaninmagic https://t.co/J1lIprdoQy",2022-07-03 01:33:25+00:00,Mexico,0,0,0,https://twitter.com/TryNotImages/status/1543407530772254720,"['TryNotImages', 'beauty', 'sunset', 'winstonsalem', 'summertime', 'sunglasses', 'melaninmagic']"
,arar_group,FALSE,33,"When your hair is in good shape, it undoubtedly looks better, and the chances of that happening are far less likely— or at least less frequent.
#ArarGroup #ArarServices #ArarInnovation #MEPLANET+ #hairproducts #haircare #hair #naturalhair #hairgoals #healthyhair #hairstyles https://t.co/YNfOHpfzUu",2022-08-23 04:59:34+00:00,Argentina,0,0,0,https://twitter.com/arar_group/status/1561941191008075783,"['ArarGroup', 'ArarServices', 'ArarInnovation', 'MEPLANET', 'hairproducts', 'haircare', 'hair', 'naturalhair', 'hairgoals', 'healthyhair', 'hairstyles']"
,HBincharge,FALSE,3933,Walk you like a dog… #makeuptransformation #makeuptrends #makeupartist #... https://t.co/51cotaoF74 via @YouTube,2022-07-29 06:29:21+00:00,Argentina,0,0,0,https://twitter.com/HBincharge/status/1552904089842855938,"['makeuptransformation', 'makeuptrends', 'makeupartist']"
,CathWarburton,FALSE,44,"It's pay day, so go on and treat yourself – you deserve it! So that's a new fragrance, your favourite foundation and a lipstick... oh go on then 😍
#Avon #Beauty #AvonBeauty #MakeUp #AvonMakeUp #PayDay #PayDayTreats #TreatYourself
https://t.co/BhZgoJqFK0 https://t.co/6SvkAjVMZi",2022-08-30 18:12:13+00:00,Argentina,0,0,0,https://twitter.com/CathWarburton/status/1564677385450037255,"['Avon', 'Beauty', 'AvonBeauty', 'MakeUp', 'AvonMakeUp', 'PayDay', 'PayDayTreats', 'TreatYourself']"
,MAHJAHAJH,FALSE,22,"Here are some tips of what skincare range might work for you:
🌵 Dry, sensitive? Camomile 
🚫 Oily &amp; blemished? Tea Tree 
✅ Normal? Vitamin E
🤘 Combination? Seaweed
Visit my website &amp; get your order in today! 🛒🛍
https://t.co/6VvMToYKGp 

#SkincareTips #Moisturise https://t.co/kVvj9d1iPu",2022-08-30 11:40:18+00:00,Argentina,0,0,0,https://twitter.com/MAHJAHAJH/status/1564578756777361411,"['SkincareTips', 'Moisturise']"
,HoJo989,FALSE,23,"#TeaTree is so antibacterial and pure that the farmers who grow it, don't have to use pesticides, which is just one ofincredible the reasons it's so good for helping to get you clearer-looking skin. 

https://t.co/PoSLBHGcGz 

#TeaTreeSkincare #ClearSkin #TeaTree https://t.co/SXuunpNW6b",2022-08-29 17:00:13+00:00,Argentina,0,0,0,https://twitter.com/HoJo989/status/1564296875662082052,"['TeaTree', 'TeaTreeSkincare', 'ClearSkin', 'TeaTree']"
,Purvari,FALSE,93,"We have an exciting year ahead at Purvari... 

#Purvari #newskincare #damngooddirt #farmboundpharmfree https://t.co/U5WJGStCCu",2022-01-04 19:01:33+00:00,Argentina,0,0,0,https://twitter.com/Purvari/status/1478441488677699584,"['Purvari', 'newskincare', 'damngooddirt', 'farmboundpharmfree']"
,Serendipity_WS,FALSE,94,"For years, we've provided an all-encompassing total wellness experience for every client that steps foot into our studio. Book your appointment with us now -- you'll be glad you did. #MassageTherapy #Skincare https://t.co/gF8ILrKGqc",2022-08-30 19:18:21+00:00,Argentina,0,0,0,https://twitter.com/Serendipity_WS/status/1564694026187587586,"['MassageTherapy', 'Skincare']"
,FreeKaaMaal,FALSE,8797,Lowest Online - Mama Earth Face Care Combo At Rs.507 !!: #Foxy #Freekaamaal#mamaearth #facecare #combo #kit https://t.co/V7lksGAsHo #offers #deals #cashback,2022-08-23 10:33:03+00:00,Argentina,0,0,0,https://twitter.com/FreeKaaMaal/status/1562025118041198592,"['Foxy', 'Freekaamaal', 'mamaearth', 'facecare', 'combo', 'kit', 'offers', 'deals', 'cashback']"
,buynaturalglow,FALSE,0,"NATURAL GLOW
YOUR FAIRNESS PARTNER

Buy Now
For more information 
W | 754 0000 519

#bestnightcream #nightcreamfordryskin #nightcreamforwomen #nightcreamformen #naturalglow #facecream #skincare #beauty #15daysguarantee #beauty #facecare #cosmetics #glowingskin #healthyskin https://t.co/B0gN117jbM",2022-08-12 13:49:17+00:00,Argentina,0,0,0,https://twitter.com/buynaturalglow/status/1558088233090973696,"['bestnightcream', 'nightcreamfordryskin', 'nightcreamforwomen', 'nightcreamformen', 'naturalglow', 'facecream', 'skincare', 'beauty', '15daysguarantee', 'beauty', 'facecare', 'cosmetics', 'glowingskin', 'healthyskin']"
,SheairButters,FALSE,113,https://t.co/S8KnBmGY3z Liquid Body Butter is like no oil or butter you've ever used. Just look at it. Have you ever seen anything like this before? Our exclusive award-winning formula is truly a marvel to behold and use. Try it today and experience the height of luxury #skincare https://t.co/WI1V34hzS7,2022-07-30 19:52:37+00:00,Mexico,0,0,0,https://twitter.com/SheairButters/status/1553468625398468609,['skincare']
,OneTEnterprise1,FALSE,6,"VIBRANT GLAMOUR Retinol Face Cream with Vitamin C &amp; E 
#skincaretips #skincareroutines #clearskin #healthyskin #skinroutine #skintips #skincaretips #moisturizer 
https://t.co/C0KQco6Rac https://t.co/krS6cufOM8",2022-07-30 04:42:33+00:00,Argentina,0,0,0,https://twitter.com/OneTEnterprise1/status/1553239601409495040,"['skincaretips', 'skincareroutines', 'clearskin', 'healthyskin', 'skinroutine', 'skintips', 'skincaretips', 'moisturizer']"
,theclensta,FALSE,174,"#repost 
@beclensta 
@thatshinyankita

Introducing @beclensta Face Serum infused with 2% Alpha Arbutin &amp; 1% Hyaluronic Acid
#clensta #faceserum #redaloevera #aloevera #madeinindia #faceproducts #newbie #newskincare #hyaluronicacid #alphaarbutin #darkspots #pigmentation #facecare https://t.co/9W4KX4NfUY",2022-04-20 05:35:48+00:00,Argentina,0,0,2,https://twitter.com/theclensta/status/1516651827747512321,"['repost', 'clensta', 'faceserum', 'redaloevera', 'aloevera', 'madeinindia', 'faceproducts', 'newbie', 'newskincare', 'hyaluronicacid', 'alphaarbutin', 'darkspots', 'pigmentation', 'facecare']"
,gemma89avon,FALSE,500,"Discover your fave hair serum and boost your Advance Techniques hair regime with this amazing 2 for £7 offer. Pick out the serum to complement your shampoo &amp; conditioner, for next level results 💜
https://t.co/xWgOx1PB90
#Avon #AdvanceTechniques #HairGoals #SalonHair https://t.co/hBitx7gzK8",2022-08-27 10:05:33+00:00,Argentina,0,0,0,https://twitter.com/gemma89avon/status/1563467746016657408,"['Avon', 'AdvanceTechniques', 'HairGoals', 'SalonHair']"
,FlipkartHealth,TRUE,1415,"Do it right and see a smile POP on your clean and clear face every day! 😁
Click on the link below 👇🏼 to know more about Pimple-care.
https://t.co/ZoSvZSjbjm 

#clearskin #HealthySkin #remedies #Medicine #FlipkartHealthPlus #BestSavingsOnMedicines #GenuineMedicines #FKH https://t.co/JfdXepLtct",2022-08-30 12:20:11+00:00,Argentina,3,0,0,https://twitter.com/FlipkartHealth/status/1564588793784680450,"['clearskin', 'HealthySkin', 'remedies', 'Medicine', 'FlipkartHealthPlus', 'BestSavingsOnMedicines', 'GenuineMedicines', 'FKH']"
,myceleblifeuk,FALSE,84,"Glam up with Lizzo’s hair cream and Glossier’s new essential
https://t.co/A6EXm6Rg5X
#Beauty #BeautyTrends #Fashion #Shopping https://t.co/B9O26iKROl",2022-08-14 13:31:26+00:00,Argentina,0,0,1,https://twitter.com/myceleblifeuk/status/1558808519494836229,"['Beauty', 'BeautyTrends', 'Fashion', 'Shopping']"
,oraiosskincare,FALSE,7,"Acne is a very common skin condition that causes pimples.
So let's get to know about the factors which cause acne.

#learnskincare #skincare #skin #skincaretips #makeup #naturalskincare #beauty #skincareroutine  #skincareroutines https://t.co/2BwYxy7cG4",2022-08-29 14:05:12+00:00,Argentina,0,0,0,https://twitter.com/oraiosskincare/status/1564252834715115520,"['learnskincare', 'skincare', 'skin', 'skincaretips', 'makeup', 'naturalskincare', 'beauty', 'skincareroutine', 'skincareroutines']"
,Ascentia16,FALSE,1,"n all upcoming festive occasions, look presentable with shinny &amp; soft hair👉 Use #Ascentia's premium, safe &amp; nourishing hair-care products👉 Easily available on Amazon &amp; Flipkart.

#Ascentia #Beauty #Cosmetics #Essentials #Hair #Scalp #HairCare #ScalpCare #HairNourishment https://t.co/CVVDLRlGa9",2022-08-30 12:20:13+00:00,Argentina,0,0,0,https://twitter.com/Ascentia16/status/1564588803201077248,"['Ascentia', 'Ascentia', 'Beauty', 'Cosmetics', 'Essentials', 'Hair', 'Scalp', 'HairCare', 'ScalpCare', 'HairNourishment']"
,Foxxnews_ng,FALSE,37,"On a $200 million mega yacht, Beyoncé, Jay-Z, and their children have family fun.

https://t.co/XCEhBcThIE

#celeb #follow #trending #beautiful #famous #celebritystyle #style #beauty #celebritynews #like #celebs #instagood #photography #artist https://t.co/Mph0lEYR9M",2022-08-30 22:41:38+00:00,Argentina,0,0,0,https://twitter.com/Foxxnews_ng/status/1564745185988337666,"['celeb', 'follow', 'trending', 'beautiful', 'famous', 'celebritystyle', 'style', 'beauty', 'celebritynews', 'like', 'celebs', 'instagood', 'photography', 'artist']"
,BoldServant,FALSE,16,"Want glowing skin and FREEBIES?!? Here's how to get the best deal on the new DermResults 3-Step Starter Regimen.
https://t.co/2KZaFuM1DO

#Vegan #Wellness #HealthyLiving #MindBodySkin #DermResults #AgeWell #VeganSkincare #GlowingSkin #GlowCream  #RadiantSkin #GlutenFreeSkincare https://t.co/EeeriySegz",2022-08-28 11:00:08+00:00,Argentina,0,0,1,https://twitter.com/BoldServant/status/1563843871821422592,"['Vegan', 'Wellness', 'HealthyLiving', 'MindBodySkin', 'DermResults', 'AgeWell', 'VeganSkincare', 'GlowingSkin', 'GlowCream', 'RadiantSkin', 'GlutenFreeSkincare']"
,GorgeousshopUK,FALSE,11621,"Balance Me's products work on three different levels – skin benefits, aroma and mood boosting.  🤍

Flash Sale 20% off Balance Me ✨

#Dermalogica #FlashSale #Sale #Skincare #Skin #EssentialOils #Aromatherapy #BalanceMe https://t.co/C7tUgR45g0",2022-08-02 17:40:35+00:00,Argentina,0,0,0,https://twitter.com/GorgeousshopUK/status/1554522565502242818,"['Dermalogica', 'FlashSale', 'Sale', 'Skincare', 'Skin', 'EssentialOils', 'Aromatherapy', 'BalanceMe']"
