,id,url,date,content,username,replyCount,retweetCount,likeCount,quoteCount,hashtags
0,1.55262E+18,https://twitter.com/CTilburyMakeup/status/1552617582364090369,2022-07-28 11:30:52+00:00,"✨👁LIMITED-EDITION NEW! SHADES! EYES TO MESMERISE👁✨

Darlings, transform your eyes from sunrise to sunset with my AWARD-WINNING Eyes to Mesmerise in NEW! Sun-Kissed shades! 

How GORGEOUS is Lorena Rae in this look by my talented niece @SofiaTilbury?!

🛍Shop NOW! https://t.co/1abRK6XQUC",CTilburyMakeup,2,2,25,0,
1,1.55237E+18,https://twitter.com/CTilburyMakeup/status/1552365281405804546,2022-07-27 18:48:19+00:00,"💫NEW! SUN-KISSED SHADES OF EYES TO MESMERISE 💫

Darlings, the world has fallen in love with my award-winning Eyes to Mesmerise formula, and I have combined that magic with the UNIVERSALLY-FLATTERING light-play of GOLDEN HOUR with my NEW! SUN-KISSED SHADES! 

LAUNCHING TOMORROW! https://t.co/bRZ15in2m0",CTilburyMakeup,2,1,19,1,
2,1.55052E+18,https://twitter.com/CTilburyMakeup/status/1550518551655505921,2022-07-22 16:30:04+00:00,"✨☀️NEW! MESMERISING EYES IN MINUTES☀️✨

Darlings, something NEW! is coming…28.07.22

DREAM-SHEEN TEXTURES and SUN-KISSED SHADES to light up your eyes in MINUTES! Simply SWIPE ON + GLOW! 

Can you guess what’s coming soon? 👀 https://t.co/R3bDNzeGIz",CTilburyMakeup,1,4,21,2,
3,1.54972E+18,https://twitter.com/CTilburyMakeup/status/1549718266628775936,2022-07-20 11:30:01+00:00,"💫 AIRBRUSH FLAWLESS SETTING SPRAY 💫

Darlings, party all night and stay all day with my Airbrush Flawless Setting Spray!! Mist over your skin to weightlessly PRIME and SET, or REFRESH on-the-go for a FLAWLESS look that lasts!! 

🛍 Shop Airbrush Flawless Setting Spray NOW! https://t.co/nIBDAaPs9v",CTilburyMakeup,1,1,14,1,
4,1.54936E+18,https://twitter.com/CTilburyMakeup/status/1549355886803652608,2022-07-19 11:30:03+00:00,"🌟 AIRBRUSH FLAWLESS SETTING SPRAY 🌟

Darlings, weightlessly prime and set makeup for up to 16 HOURS with no melting, fading or creasing using my HIGH-PERFORMANCE Airbrush Flawless Setting Spray!

🛍 Shop Charlotte’s GLOWING complexion icons NOW! https://t.co/OFbZP6pzDB",CTilburyMakeup,2,4,28,0,
5,1.54754E+18,https://twitter.com/CTilburyMakeup/status/1547543946804461568,2022-07-14 11:30:03+00:00,"🌟NEW! GLOW TONER🌟

Darlings, my NEW! Innovation GLOW TONER is an ACID-FREE toner that helps boost natural surface skin cell turnover with a gentle exfoliating action!!

🛍Shop NOW on https://t.co/WZoKOV6YcI! https://t.co/7lpEFg6idW",CTilburyMakeup,3,2,16,1,
6,1.54718E+18,https://twitter.com/CTilburyMakeup/status/1547181557911363584,2022-07-13 11:30:03+00:00,"✨🏝MAKE YOUR ISLAND DREAMS COME TRUE🏝✨

Dial up your summer glow with my NEW! K.I.S.S.I.N.G lipstick in ISLAND DREAM!!

Created in collaboration with social media sensation #KesiahSarahWee!! 💋

🛍 Shop NOW on https://t.co/fxmXdRgald! https://t.co/bEkZnghSzz",CTilburyMakeup,3,2,12,0,['KesiahSarahWee']
7,1.54654E+18,https://twitter.com/CTilburyMakeup/status/1546536555673788416,2022-07-11 16:47:02+00:00,"✨🌟CHARLOTTE-APPROVED SUMMER LIP LOOKS🌟✨

Darlings, discover my WORLD-FAMOUS K.I.S.S.I.N.G lipstick wardrobe!! From my NEW! ISLAND DREAM to my CELEBRITY-LOVED Nude Kate &amp; Penelope Pink!

ISLAND DREAM was created with social media sensation #KeishaSarahWee!

🛍 Shop NOW! https://t.co/nM8Q2ig4pX",CTilburyMakeup,5,3,39,1,['KeishaSarahWee']
8,1.54649E+18,https://twitter.com/CTilburyMakeup/status/1546487386447794182,2022-07-11 13:31:39+00:00,"☀️DARLINGS, IT'S HOT OUTSIDE!!☀️

Unlock your perfect SUMMER LOOK IN 5 with my NEW! Quick &amp; Easy Sun-kissed makeup kit! With everything you need for a summer pink-toned look in minutes, it’s the ideal on-the-go kit! 

🛍 Shop NOW on https://t.co/YvhKJQisFo! https://t.co/Ht6yKjrUoZ",CTilburyMakeup,6,7,37,0,
9,1.54645E+18,https://twitter.com/CTilburyMakeup/status/1546454415850323976,2022-07-11 11:20:39+00:00,"@JesssicaSings Love this look Darling, thank you for sharing!! 💖 xx",CTilburyMakeup,1,1,2,0,
10,1.30987E+18,https://twitter.com/davelackie/status/1309872743614156800,2020-09-26 15:09:32+00:00,"@NinaWestbury @CTilburyMakeup Wow, you look gorgeous!!! Watch out Mark!! Beautiful look, darling!!! xo",davelackie,1,2,27,0,
11,1.08634E+18,https://twitter.com/davelackie/status/1086341636160778240,2019-01-18 19:16:43+00:00,@BestDayBlogger @NinaWmakeup @CTilburyMakeup wishing you a happy birthday!!,davelackie,2,1,1,0,
12,1.55337E+18,https://twitter.com/davelackie/status/1553367354297434112,2022-07-30 13:10:12+00:00,"@seven4liberty @Mother3Teresa You misunderstood, Vickie. Creams designed for mature skin do work. But young people shouldn't be using them until they are older. Young skin has different needs than older skin",davelackie,1,1,4,0,
13,1.55337E+18,https://twitter.com/davelackie/status/1553366935928246272,2022-07-30 13:08:32+00:00,@robinson4206 Happy Saturday to you and Bella,davelackie,1,1,3,0,
14,1.55333E+18,https://twitter.com/davelackie/status/1553334592559620098,2022-07-30 11:00:01+00:00,"When shopping for sun screen, look for one that offers broad spectrum protection from UVA &amp; UVB rays. But equally important is texture and feel. Try a few different brands and find one that feels great on your skin. You need a formula that you'll want to wear. #protip",davelackie,17,65,207,1,['protip']
15,1.55303E+18,https://twitter.com/davelackie/status/1553032581691707398,2022-07-29 14:59:56+00:00,@velvetwhip @ameliamccreith Thanks Gabrielle,davelackie,1,1,1,0,
16,1.55303E+18,https://twitter.com/davelackie/status/1553032340259184644,2022-07-29 14:58:58+00:00,@Chrissyann12345 @ameliamccreith Thanks Christine. Happy weekend,davelackie,1,1,1,0,
17,1.55299E+18,https://twitter.com/davelackie/status/1552993067615002624,2022-07-29 12:22:55+00:00,"Did you know that Marilyn Monroe used a secret blend of three lipsticks to create her signature look? To get that moist look on her lips, her makeup artist would first apply lipstick then a mixture of vaseline &amp; wax. #nationallipstickday #lipstickday https://t.co/rByaQherL1",davelackie,22,74,251,3,"['nationallipstickday', 'lipstickday']"
18,1.55299E+18,https://twitter.com/davelackie/status/1552990711397683201,2022-07-29 12:13:33+00:00,"@AdeleAwright @Smashbox Yes, I think you definitely need to change lipstick shades at least four times today to celebrate!!! lol",davelackie,1,1,10,0,
19,1.55299E+18,https://twitter.com/davelackie/status/1552989936810446850,2022-07-29 12:10:28+00:00,"Happy National Lipstick Day! @Smashbox is celebrating with a new shade of its Be Legendary Prime &amp; Plush Lipstick. It's called ""Be Seen"" &amp; it is a perfect red created &amp; developed by women of colour for people of colour.  Launches at Sephora today! https://t.co/G4x8egcowz",davelackie,32,134,352,1,
20,1.55298E+18,https://twitter.com/davelackie/status/1552982793415802880,2022-07-29 11:42:05+00:00,Hurray!! I just drew a winning name from the U.K. Congrats to @ameliamccreith She wins the Clinique blush. Lots more to come,davelackie,53,29,228,1,
21,1.55297E+18,https://twitter.com/davelackie/status/1552972203225858048,2022-07-29 11:00:00+00:00,Investing in expensive anti-aging creams formulated for mature skin isn't a good approach for younger individuals. This is actually a trend many retailers are observing.  Better to use SPF daily &amp; products formulated for your skin concerns now. #protip,davelackie,17,47,187,4,['protip']
22,1.55297E+18,https://twitter.com/davelackie/status/1552972201091112963,2022-07-29 11:00:00+00:00,"Love Lady Gaga? I'm giving away her Haus Labs Hy-Power Pigment Paint in Gold Shimmer. You can use it on eyes, lips, cheeks and body. To enter, follow @davelackie &amp; RT (ends 08/02) #win (at Sephora) https://t.co/MsXOe1RPC7",davelackie,140,1518,1074,37,['win']
23,1.55282E+18,https://twitter.com/davelackie/status/1552815600535277574,2022-07-29 00:37:43+00:00,@DunphyLori @Versace Hi Lori: Thrilled your Versace kit arrived. Love your roses!!,davelackie,1,1,10,0,
24,1.55265E+18,https://twitter.com/davelackie/status/1552654468554010633,2022-07-28 13:57:26+00:00,"@jodster_farr yes, so true. Have a good Thursday, Jody",davelackie,1,1,1,0,
25,1.55261E+18,https://twitter.com/davelackie/status/1552609819042844672,2022-07-28 11:00:01+00:00,This is interesting.  A new study reveals that Gen Z shoppers aged 18 to 24 years said skincare was the product category they spend the most on. They lead skincare sales across all age groups. #protip,davelackie,25,43,189,2,['protip']
26,1.5524E+18,https://twitter.com/davelackie/status/1552396394278838273,2022-07-27 20:51:57+00:00,@SeptemberDee @StuartGojotrain @scentlodge what a wonderful display,davelackie,1,1,6,0,
27,1.09474E+18,https://twitter.com/davelackie/status/1094739589674106880,2019-02-10 23:27:12+00:00,@StevieLopezMUA @RealCandyRayne @Lisa_Eldridge @jamescharles @GlamLifeGuru @JeffreeStar @Jaclynhill @ThomasBeautyy @ChloeMorello @NikkieTutorials @xoShaaan @thataylaa @ABHcosmetics @Cityline @UrbanDecay @Pixiwoos @Pixiwoo @PIXIBeauty sounds great!!!,davelackie,1,1,2,0,
28,1.09467E+18,https://twitter.com/davelackie/status/1094667917428310016,2019-02-10 18:42:24+00:00,@RealCandyRayne @StevieLopezMUA @Lisa_Eldridge @jamescharles @GlamLifeGuru @JeffreeStar @Jaclynhill @ThomasBeautyy @ChloeMorello @NikkieTutorials @xoShaaan @thataylaa @ABHcosmetics @Cityline @UrbanDecay @Pixiwoos @Pixiwoo @PIXIBeauty I really like Lisa. She's pretty amazing!!,davelackie,1,1,1,0,
29,1.0946E+18,https://twitter.com/davelackie/status/1094600738485858305,2019-02-10 14:15:27+00:00,"@StevieLopezMUA @Lisa_Eldridge @jamescharles @GlamLifeGuru @JeffreeStar @Jaclynhill @ThomasBeautyy @ChloeMorello @NikkieTutorials @xoShaaan @thataylaa @ABHcosmetics @Cityline @RealCandyRayne @UrbanDecay @Pixiwoos @Pixiwoo @PIXIBeauty You have the BEST smile, Stevie!! And your makeup is flawless. Great job!!",davelackie,2,2,11,0,
30,1.5488E+18,https://twitter.com/davelackie/status/1548798190257934336,2022-07-17 22:33:58+00:00,@mariecena66 Have you tried Lisa Eldridge's lipstick? It's beautifully done.,davelackie,1,2,2,0,
31,1.53016E+18,https://twitter.com/davelackie/status/1530163355163533312,2022-05-27 12:25:47+00:00,Congratulations this morning to @sakura__lovely who wins the Lisa Eldridge liquid shadow. More to come!!,davelackie,64,30,203,0,
32,1.52905E+18,https://twitter.com/davelackie/status/1529054603618050048,2022-05-24 11:00:00+00:00,"My next luxe beauty Twitter giveaway is Lisa Eldridge's Liquid Lurex Eyeshadow in 'Diana', a fiery copper shade with sparkling notes of red, gold &amp; magenta pearl. To enter, RT &amp; follow @davelackie (ends 27/05) #win https://t.co/iwSy6tU7qB",davelackie,134,1497,1064,33,['win']
33,1.50879E+18,https://twitter.com/davelackie/status/1508793941872807949,2022-03-29 13:11:22+00:00,Congrats this morning to @meenalaregina I just drew her name for the Lisa Eldridge lipstick. Lots more to come!,davelackie,80,33,268,0,
