username,content,date,country,replyCount,retweetCount,likeCount,url,inference,verified,followersCount,id
wintersgordon,still try to master that contour a mistake that many make be to opt for a sparky bronze but it be usually best to use a matte bronze and save the glow for your highlight spark,2022-08-26 11:35:12+00:00,Argentina,0,0,0,https://twitter.com/wintersgordon/status/1563127920214044673,Positive Sentiment,FALSE,342,f3a10af3
TheTressXpress,our first pop up of 2022 partying_face clipping_hands_medium_skin_tone join us from 10am 6pm at botanical garden and get your favorite hair body smiling_face_with_hearts deal surprise amp more await yellow_heart see you there,2022-07-27 14:24:19+00:00,Papua New Guinea,0,3,2,https://twitter.com/TheTressXpress/status/1552298846125948931,Neutral Sentiment,FALSE,74,44046d21
Style_Sage,our june beauty report be live and here be some key insights set spray and primer be trend droplet search for hair oil be up 31 to ly chart_increasing want to know more download your copy of the report here,2022-06-15 17:50:48+00:00,Argentina,0,0,0,https://twitter.com/Style_Sage/status/1537130518168346624,Positive Sentiment,FALSE,967,654d7afa
BeautyLashed,camera definitely not shy star strike absolutely play this look in style camera ready from our eco evolution lash collection shop backhand_index_pointing_down,2022-07-30 14:44:50+00:00,Argentina,0,0,0,https://twitter.com/BeautyLashed/status/1553391172302897155,Neutral Sentiment,FALSE,2,65088356
tecyl1971,the sony trade_mark daily sincere system deliver alone moisture and botanical deep into your skin thank to forever s advance gel base technology inline 237699708205,2022-07-06 20:02:51+00:00,Argentina,0,0,1,https://twitter.com/tecyl1971/status/1544773895881822208,Positive Sentiment,FALSE,41,f1046c43
texann008,our most comprehensive anti age serum feature rf trienergy complex that energies millions of surface skin cells by 200 to address all key sign of skin age,2022-08-30 18:31:27+00:00,Argentina,0,0,0,https://twitter.com/texann008/status/1564682223852584960,Neutral Sentiment,FALSE,152,96dcee4d
lookyoungclinic,top 5 benefit of book treatment book your appointment backhand_index_pointing_down globe_with_meridian telephone 91 9899 007 687,2022-07-29 10:52:25+00:00,Argentina,0,0,0,https://twitter.com/lookyoungclinic/status/1552970293596999681,Neutral Sentiment,FALSE,60,28580ef9
ClinicTia,do you know that your skin account for about 15 of your body weight call 917777001905 to make an appointment today on all your skin issue,2022-08-02 08:00:00+00:00,Argentina,0,0,0,https://twitter.com/ClinicTia/status/1554376453965303808,Neutral Sentiment,FALSE,2,f2b8a124
mirzanajam339,11 affordable and natural face cleaner for oily skin in 2022,2022-07-25 14:52:19+00:00,Argentina,0,0,0,https://twitter.com/mirzanajam339/status/1551581117018476544,Positive Sentiment,FALSE,21,16ee6e4c
SewaKaty,reveal the majestic beauty of your skin backhand_index_pointing_right backhand_index_pointing_right Book an Appointment on 1 281 769 1251 amp Visit and location 900 katy fort bend rd katy texas 77494,2022-08-16 17:47:52+00:00,Argentina,0,0,2,https://twitter.com/SewaKaty/status/1559597826773962752,Neutral Sentiment,FALSE,0,ed66c9a7
AboutFaceSkinCo,scale aside one of the best tool for non invasive neck rejuvenation we be love register for with chris thomas right now bin for our upcoming educational launch seminar on may 4th 7 pm,2022-04-29 17:07:13+00:00,Mexico,0,0,0,https://twitter.com/AboutFaceSkinCo/status/1520087321382686720,Positive Sentiment,FALSE,301,0dd6d070
CedarsDerm,1 cleanse 2 tone 3 serum amp booster 4 moisture 5 mask amp exfoliate,2022-07-08 11:00:33+00:00,Argentina,0,0,1,https://twitter.com/CedarsDerm/status/1545362197550866433,Positive Sentiment,FALSE,1412,c0bb6978
CelciusCosplay,shooting_star shooting_star shooting_star hey how be you makeup test thinking_face rolling_on_the_floor_laughing summertime spark have a good day spark spark spark raising_hands a switzerland,2022-05-21 16:02:22+00:00,France,0,0,1,https://twitter.com/CelciusCosplay/status/1528043532958695425,Neutral Sentiment,FALSE,273,4b0b0055
KNSage,sometimes you need a little glitter and spare on a tuesday afternoon this glitter and spare be courtesy of the sunkissed summer palette it be so good,2022-08-23 22:20:46+00:00,Argentina,0,2,5,https://twitter.com/KNSage/status/1562203221401120771,Positive Sentiment,FALSE,388,b53dae73
tokskin,nothing beat a healthy glow and skin advance on the body and face at the late stage in life purple_heart,2022-06-25 10:33:13+00:00,Argentina,0,0,1,https://twitter.com/tokskin/status/1540644274445979652,Positive Sentiment,FALSE,73,77a05a6a
miriamlozoriaaa,it be a hot girl summer tangerine make up lessons available for only 150 check_mark_button direct message to book now love_letter,2022-06-07 15:00:17+00:00,Argentina,0,0,0,https://twitter.com/miriamlozoriaaa/status/1534188501603864576,Neutral Sentiment,FALSE,609,eb08baaf
Deal_Leads_US,save 75 0 on select products from fallcolo with promo code 75r334n3 through sep 04 2022 while supply last us only,2022-08-30 21:27:20+00:00,Argentina,0,0,0,https://twitter.com/Deal_Leads_US/status/1564726485902102529,Neutral Sentiment,FALSE,1101,7a2e36c1
theglowingsales,this be bio oil sincere oil it be ingredients be vitamin a help improve the skin s elasticity texture and tone vitamin e increase the moisture content of the epidermis thereby make the skin softer smoother,2022-08-30 11:26:32+00:00,Argentina,0,27,4,https://twitter.com/theglowingsales/status/1564575290206076930,Positive Sentiment,FALSE,213,6733c63d
RrspaceB,the 10 best body motion you will ever use sweat_droplets spark these be the best sellers you need to keep your skin hydrate smooth and healthy spark glowing_star click the link to know more backhand_index_pointing_down,2022-08-30 09:43:08+00:00,Argentina,0,0,0,https://twitter.com/RrspaceB/status/1564549269498912768,Positive Sentiment,FALSE,1,16dfcae3
PerfectionbyP,3 tip to help these bad habit do you do any of these,2022-08-19 16:08:51+00:00,Argentina,0,0,1,https://twitter.com/PerfectionbyP/status/1560660070387462151,Positive Sentiment,FALSE,426,91f0fb8d
SueNaticsDavao,10 minute makeup roll na e rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing style by hair by,2022-07-29 06:21:14+00:00,Israel,0,1,5,https://twitter.com/SueNaticsDavao/status/1552902050375417857,Neutral Sentiment,FALSE,2324,f3dbce2f
audorain,skin care be a commitment do not forget to treat it well aurora be here help you all the way,2022-08-29 04:40:52+00:00,Argentina,0,0,1,https://twitter.com/audorain/status/1564110813668945920,Positive Sentiment,FALSE,83,7804760b
thelifeactive,4 vitamins that lead to acne vitamins for clear skin complexion,2022-08-22 21:04:11+00:00,Argentina,0,0,0,https://twitter.com/thelifeactive/status/1561821559097987073,Negative Sentiment,FALSE,3,1f5103ca
