sentiment,username,verified,followersCount,content,date,country,replyCount,retweetCount,likeCount,url,hashtags
1,wintersgordon,FALSE,342,"Still trying to master that contour? A mistake that many make is to opt for a sparkly bronzer, but it is usually best to use a matte bronzer and save the glow for your highlight! ✨
https://t.co/JupqCJAXMk
 #contour #contouringmakeup #countouring #MakeUpTips https://t.co/gjqjt8FPyp",2022-08-26 11:35:12+00:00,Argentina,0,0,0,https://twitter.com/wintersgordon/status/1563127920214044673,"['contour', 'contouringmakeup', 'countouring', 'MakeUpTips']"
0,TheTressXpress,FALSE,74,"Our first Pop Up of 2022 🥳👏🏽
Join us from 10am -6pm at Botanical Gardens and get your favorite hair goodies 🥰 Deals, Surprises &amp; More await 💛 See you there !!! #popup #business #hairproducts #summer https://t.co/fx14LaL3Ko",2022-07-27 14:24:19+00:00,Papua New Guinea,0,3,2,https://twitter.com/TheTressXpress/status/1552298846125948931,"['popup', 'business', 'hairproducts', 'summer']"
1,Style_Sage,FALSE,967,"Our June Beauty Report is live, and here are some key insights:

Setting sprays and primers are trending 💧
Searches for hair oil are up 31% to LY 📈

Want to know more? Download your copy of the report here: https://t.co/TY6kGhwUh0

#beauty #beautytrends #makeup",2022-06-15 17:50:48+00:00,Argentina,0,0,0,https://twitter.com/Style_Sage/status/1537130518168346624,"['beauty', 'beautytrends', 'makeup']"
0,BeautyLashed,FALSE,2,📷 Definitely not shy 🤩 @keiana.mua absolutely slayed this look in style “Camera Ready” from our ECO Evolution Lash Collection. Shop👇 https://t.co/D7Vqcgiz0j . . . #makeuptransformation #makeuptutorial #makeup #lashes #makeupinspo #makeupideas... https://t.co/TBkQ5DkrqV,2022-07-30 14:44:50+00:00,Argentina,0,0,0,https://twitter.com/BeautyLashed/status/1553391172302897155,"['makeuptransformation', 'makeuptutorial', 'makeup', 'lashes', 'makeupinspo', 'makeupideas']"
1,tecyl1971,FALSE,41,"The Sonya™ daily skincare system delivers aloe, moisture and botanicals deep into your skin thanks to Forever’s advanced gel-based technology.

Infoline+237699708205
#foreverskincare #dailyskincare
#tecylaloebienetre https://t.co/zgqM347OK1",2022-07-06 20:02:51+00:00,Argentina,0,0,1,https://twitter.com/tecyl1971/status/1544773895881822208,"['foreverskincare', 'dailyskincare', 'tecylaloebienetre']"
0,texann008,FALSE,152,Our most comprehensive anti-aging serum features RF TriEnergy Complex that energizes millions of surface skin cells by 200% to address all key signs of skin aging. #skincare #rflove https://t.co/YuBWXN2UDH,2022-08-30 18:31:27+00:00,Argentina,0,0,0,https://twitter.com/texann008/status/1564682223852584960,"['skincare', 'rflove']"
0,lookyoungclinic,FALSE,60,"TOP 5 BENEFITS OF BOTOX TREATMENT 
,
Book your Appointment👇
🌐 - https://t.co/UZKMXqZSDM
☎️ +(91) 9899-007-687
.
.
#botoxtreatment #botox #lipfillers #lip #filler #dermal #dillers #skincare #skincareroutine #skincaretips #skincareproducts #skincareroutines #skin #hydrafacial https://t.co/XeLpUFduVC",2022-07-29 10:52:25+00:00,Argentina,0,0,0,https://twitter.com/lookyoungclinic/status/1552970293596999681,"['botoxtreatment', 'botox', 'lipfillers', 'lip', 'filler', 'dermal', 'dillers', 'skincare', 'skincareroutine', 'skincaretips', 'skincareproducts', 'skincareroutines', 'skin', 'hydrafacial']"
0,ClinicTia,FALSE,2,"Did you know that your skin accounts for about 15% of your body weight? 
Call +917777001905 to make an appointment today on all your skin issues.
#skinjourney #radiantskin #blemishes #skinrejuvenation #exfoliation #hydratingskincare #oilyskin #skinglow #skinlove #skinroutine https://t.co/b1xnVOq7i5",2022-08-02 08:00:00+00:00,Argentina,0,0,0,https://twitter.com/ClinicTia/status/1554376453965303808,"['skinjourney', 'radiantskin', 'blemishes', 'skinrejuvenation', 'exfoliation', 'hydratingskincare', 'oilyskin', 'skinglow', 'skinlove', 'skinroutine']"
1,mirzanajam339,FALSE,21,"https://t.co/XH83OKliHQ
11 Affordable and Natural Face Cleanser for Oily Skin in 2022
#skincareantiaging #facials #cleansinggel #skincarecommunity #siberia #skincareroutines #healthyskincareroutine #beautydaily #youngerskin #beautyserum #goodlifechoices #mybeautyroutine",2022-07-25 14:52:19+00:00,Argentina,0,0,0,https://twitter.com/mirzanajam339/status/1551581117018476544,"['skincareantiaging', 'facials', 'cleansinggel', 'skincarecommunity', 'siberia', 'skincareroutines', 'healthyskincareroutine', 'beautydaily', 'youngerskin', 'beautyserum', 'goodlifechoices', 'mybeautyroutine']"
0,SewaKaty,FALSE,0,"Reveal the majestic beauty of your skin.

👉👉 𝐁𝐨𝐨𝐤 𝐚𝐧 𝐀𝐩𝐩𝐨𝐢𝐧𝐭𝐦𝐞𝐧𝐭  on +1 281-769-1251 &amp; 𝐕𝐢𝐬𝐢𝐭:- https://t.co/AV3PBQqlHa and location :- 900 Katy fort bend rd, #700. Katy Texas 77494.

#pretty #makeuplook #picoftheday #beautytips #makeupoftheday #style https://t.co/gHqh6Q2vT4",2022-08-16 17:47:52+00:00,Argentina,0,0,2,https://twitter.com/SewaKaty/status/1559597826773962752,"['700', 'pretty', 'makeuplook', 'picoftheday', 'beautytips', 'makeupoftheday', 'style']"
1,AboutFaceSkinCo,FALSE,301,"Scalpel aside, one of the best tools for non-invasive neck rejuvenation!  We are loving @sofwave !  Register for @AboutFaceSkinCo with Chrissy Thomas, RN, BSN for our upcoming educational launch webinar on May 4th, 7 PM.
https://t.co/aIeb2A4OQp
#skincare #wrinklereduction https://t.co/kKIvVQjJdR",2022-04-29 17:07:13+00:00,Mexico,0,0,0,https://twitter.com/AboutFaceSkinCo/status/1520087321382686720,"['skincare', 'wrinklereduction']"
1,CedarsDerm,FALSE,1412,"1. Cleanse 
2. Tone
3. Serum &amp; Booster 
4. Moisturise 
5. Mask &amp; exfoliate

#skincare #skincareroutine #skincareroutines #skincaretips #skincarecommunity #skincaremyths #skincareaddict #skincarejunkie #skincarejourney #skincareluxury #selfcare #skintransformation #healthyskin https://t.co/87zSM1q5am",2022-07-08 11:00:33+00:00,Argentina,0,0,1,https://twitter.com/CedarsDerm/status/1545362197550866433,"['skincare', 'skincareroutine', 'skincareroutines', 'skincaretips', 'skincarecommunity', 'skincaremyths', 'skincareaddict', 'skincarejunkie', 'skincarejourney', 'skincareluxury', 'selfcare', 'skintransformation', 'healthyskin']"
0,CelciusCosplay,FALSE,273,"🌠🌠🌠
Hey how are you? Makeup test 🤔🤣 summertime ✨️ 

Have a good day ✨️✨️✨️🙌
#makeup #selfie #glamourmodel #glamour #glammakeup #nudemakeup #redlips #mood #mode #modelshoot #posechallenge #instagram à Switzerland https://t.co/sgUWgOEEPc",2022-05-21 16:02:22+00:00,France,0,0,1,https://twitter.com/CelciusCosplay/status/1528043532958695425,"['makeup', 'selfie', 'glamourmodel', 'glamour', 'glammakeup', 'nudemakeup', 'redlips', 'mood', 'mode', 'modelshoot', 'posechallenge', 'instagram']"
1,KNSage,FALSE,388,Sometimes you need a little glitter and sparkle on a Tuesday afternoon. This glitter and sparkle is courtesy of the @shopvioletvoss SunKissed Summer palette (it’s so good!) #PNW #makeupoftheday #summermakeup https://t.co/MrQwy3oEiF,2022-08-23 22:20:46+00:00,Argentina,0,2,5,https://twitter.com/KNSage/status/1562203221401120771,"['PNW', 'makeupoftheday', 'summermakeup']"
1,tokskin,FALSE,73,"Nothing beats a healthy glow and skin radiance on the body and face at the late stage in life 💜

——————
——————

#skincare #tokskinglow #skincaretips #youthfulskin #skincareroutines #explorepage✨ https://t.co/26VIDJTp0h",2022-06-25 10:33:13+00:00,Argentina,0,0,1,https://twitter.com/tokskin/status/1540644274445979652,"['skincare', 'tokskinglow', 'skincaretips', 'youthfulskin', 'skincareroutines', 'explorepage']"
