sentiment,username,verified,followersCount,content,date,country,replyCount,retweetCount,likeCount,url,hashtags,processed,cleantext_no_spell,cleantext_no_spell_no_lemma
1,wintersgordon,False,342,"Still trying to master that contour? A mistake that many make is to opt for a sparkly bronzer, but it is usually best to use a matte bronzer and save the glow for your highlight! ✨
https://t.co/JupqCJAXMk
 #contour #contouringmakeup #countouring #MakeUpTips https://t.co/gjqjt8FPyp",2022-08-26 11:35:12+00:00,Argentina,0,0,0,https://twitter.com/wintersgordon/status/1563127920214044673,"['contour', 'contouringmakeup', 'countouring', 'MakeUpTips']",still try to master that contour a mistake that many make be to opt for a sparky bronze but it be usually best to use a matte bronze and save the glow for your highlight spark,still try to master that contour a mistake that many make be to opt for a sparky bronze but it be usually best to use a matte bronze and save the glow for your highlight spark,still try to master that contour a mistake that many make be to opt for a sparky bronze but it be usually best to use a matte bronze and save the glow for your highlight spark
0,TheTressXpress,False,74,"Our first Pop Up of 2022 🥳👏🏽
Join us from 10am -6pm at Botanical Gardens and get your favorite hair goodies 🥰 Deals, Surprises &amp; More await 💛 See you there !!! #popup #business #hairproducts #summer https://t.co/fx14LaL3Ko",2022-07-27 14:24:19+00:00,Papua New Guinea,0,3,2,https://twitter.com/TheTressXpress/status/1552298846125948931,"['popup', 'business', 'hairproducts', 'summer']",our first pop up of 2022 partying_face clipping_hands_medium_skin_tone join us from 10am 6pm at botanical garden and get your favorite hair body smiling_face_with_hearts deal surprise amp more await yellow_heart see you there,our first pop up of 2022 partying_face clipping_hands_medium_skin_tone join us from 10am 6pm at botanical garden and get your favorite hair body smiling_face_with_hearts deal surprise amp more await yellow_heart see you there,our first pop up of 2022 partying_face clipping_hands_medium_skin_tone join us from 10am 6pm at botanical garden and get your favorite hair body smiling_face_with_hearts deal surprise amp more await yellow_heart see you there
1,Style_Sage,False,967,"Our June Beauty Report is live, and here are some key insights:

Setting sprays and primers are trending 💧
Searches for hair oil are up 31% to LY 📈

Want to know more? Download your copy of the report here: https://t.co/TY6kGhwUh0

#beauty #beautytrends #makeup",2022-06-15 17:50:48+00:00,Argentina,0,0,0,https://twitter.com/Style_Sage/status/1537130518168346624,"['beauty', 'beautytrends', 'makeup']",our june beauty report be live and here be some key insights set spray and primer be trend droplet search for hair oil be up 31 to ly chart_increasing want to know more download your copy of the report here,our june beauty report be live and here be some key insights set spray and primer be trend droplet search for hair oil be up 31 to ly chart_increasing want to know more download your copy of the report here,our june beauty report be live and here be some key insights set spray and primer be trend droplet search for hair oil be up 31 to ly chart_increasing want to know more download your copy of the report here
0,BeautyLashed,False,2,📷 Definitely not shy 🤩 @keiana.mua absolutely slayed this look in style “Camera Ready” from our ECO Evolution Lash Collection. Shop👇 https://t.co/D7Vqcgiz0j . . . #makeuptransformation #makeuptutorial #makeup #lashes #makeupinspo #makeupideas... https://t.co/TBkQ5DkrqV,2022-07-30 14:44:50+00:00,Argentina,0,0,0,https://twitter.com/BeautyLashed/status/1553391172302897155,"['makeuptransformation', 'makeuptutorial', 'makeup', 'lashes', 'makeupinspo', 'makeupideas']",camera definitely not shy star strike absolutely play this look in style camera ready from our eco evolution lash collection shop backhand_index_pointing_down,camera definitely not shy star strike absolutely play this look in style camera ready from our eco evolution lash collection shop backhand_index_pointing_down,camera definitely not shy star strike absolutely play this look in style camera ready from our eco evolution lash collection shop backhand_index_pointing_down
1,tecyl1971,False,41,"The Sonya™ daily skincare system delivers aloe, moisture and botanicals deep into your skin thanks to Forever’s advanced gel-based technology.

Infoline+237699708205
#foreverskincare #dailyskincare
#tecylaloebienetre https://t.co/zgqM347OK1",2022-07-06 20:02:51+00:00,Argentina,0,0,1,https://twitter.com/tecyl1971/status/1544773895881822208,"['foreverskincare', 'dailyskincare', 'tecylaloebienetre']",the sony trade_mark daily sincere system deliver alone moisture and botanical deep into your skin thank to forever s advance gel base technology inline 237699708205,the sony trade_mark daily sincere system deliver alone moisture and botanical deep into your skin thank to forever s advance gel base technology inline 237699708205,the sony trade_mark daily sincere system deliver alone moisture and botanical deep into your skin thank to forever s advance gel base technology inline 237699708205
0,texann008,False,152,Our most comprehensive anti-aging serum features RF TriEnergy Complex that energizes millions of surface skin cells by 200% to address all key signs of skin aging. #skincare #rflove https://t.co/YuBWXN2UDH,2022-08-30 18:31:27+00:00,Argentina,0,0,0,https://twitter.com/texann008/status/1564682223852584960,"['skincare', 'rflove']",our most comprehensive anti age serum feature rf trienergy complex that energies millions of surface skin cells by 200 to address all key sign of skin age,our most comprehensive anti age serum feature rf trienergy complex that energies millions of surface skin cells by 200 to address all key sign of skin age,our most comprehensive anti age serum feature rf trienergy complex that energies millions of surface skin cells by 200 to address all key sign of skin age
0,lookyoungclinic,False,60,"TOP 5 BENEFITS OF BOTOX TREATMENT 
,
Book your Appointment👇
🌐 - https://t.co/UZKMXqZSDM
☎️ +(91) 9899-007-687
.
.
#botoxtreatment #botox #lipfillers #lip #filler #dermal #dillers #skincare #skincareroutine #skincaretips #skincareproducts #skincareroutines #skin #hydrafacial https://t.co/XeLpUFduVC",2022-07-29 10:52:25+00:00,Argentina,0,0,0,https://twitter.com/lookyoungclinic/status/1552970293596999681,"['botoxtreatment', 'botox', 'lipfillers', 'lip', 'filler', 'dermal', 'dillers', 'skincare', 'skincareroutine', 'skincaretips', 'skincareproducts', 'skincareroutines', 'skin', 'hydrafacial']",top 5 benefit of book treatment book your appointment backhand_index_pointing_down globe_with_meridian telephone 91 9899 007 687,top 5 benefit of book treatment book your appointment backhand_index_pointing_down globe_with_meridian telephone 91 9899 007 687,top 5 benefit of book treatment book your appointment backhand_index_pointing_down globe_with_meridian telephone 91 9899 007 687
0,ClinicTia,False,2,"Did you know that your skin accounts for about 15% of your body weight? 
Call +917777001905 to make an appointment today on all your skin issues.
#skinjourney #radiantskin #blemishes #skinrejuvenation #exfoliation #hydratingskincare #oilyskin #skinglow #skinlove #skinroutine https://t.co/b1xnVOq7i5",2022-08-02 08:00:00+00:00,Argentina,0,0,0,https://twitter.com/ClinicTia/status/1554376453965303808,"['skinjourney', 'radiantskin', 'blemishes', 'skinrejuvenation', 'exfoliation', 'hydratingskincare', 'oilyskin', 'skinglow', 'skinlove', 'skinroutine']",do you know that your skin account for about 15 of your body weight call 917777001905 to make an appointment today on all your skin issue,do you know that your skin account for about 15 of your body weight call 917777001905 to make an appointment today on all your skin issue,do you know that your skin account for about 15 of your body weight call 917777001905 to make an appointment today on all your skin issue
1,mirzanajam339,False,21,"https://t.co/XH83OKliHQ
11 Affordable and Natural Face Cleanser for Oily Skin in 2022
#skincareantiaging #facials #cleansinggel #skincarecommunity #siberia #skincareroutines #healthyskincareroutine #beautydaily #youngerskin #beautyserum #goodlifechoices #mybeautyroutine",2022-07-25 14:52:19+00:00,Argentina,0,0,0,https://twitter.com/mirzanajam339/status/1551581117018476544,"['skincareantiaging', 'facials', 'cleansinggel', 'skincarecommunity', 'siberia', 'skincareroutines', 'healthyskincareroutine', 'beautydaily', 'youngerskin', 'beautyserum', 'goodlifechoices', 'mybeautyroutine']",11 affordable and natural face cleaner for oily skin in 2022,11 affordable and natural face cleaner for oily skin in 2022,11 affordable and natural face cleaner for oily skin in 2022
0,SewaKaty,False,0,"Reveal the majestic beauty of your skin.

👉👉 𝐁𝐨𝐨𝐤 𝐚𝐧 𝐀𝐩𝐩𝐨𝐢𝐧𝐭𝐦𝐞𝐧𝐭  on +1 281-769-1251 &amp; 𝐕𝐢𝐬𝐢𝐭:- https://t.co/AV3PBQqlHa and location :- 900 Katy fort bend rd, #700. Katy Texas 77494.

#pretty #makeuplook #picoftheday #beautytips #makeupoftheday #style https://t.co/gHqh6Q2vT4",2022-08-16 17:47:52+00:00,Argentina,0,0,2,https://twitter.com/SewaKaty/status/1559597826773962752,"['700', 'pretty', 'makeuplook', 'picoftheday', 'beautytips', 'makeupoftheday', 'style']",reveal the majestic beauty of your skin backhand_index_pointing_right backhand_index_pointing_right Book an Appointment on 1 281 769 1251 amp Visit and location 900 katy fort bend rd katy texas 77494,reveal the majestic beauty of your skin backhand_index_pointing_right backhand_index_pointing_right Book an Appointment on 1 281 769 1251 amp Visit and location 900 katy fort bend rd katy texas 77494,reveal the majestic beauty of your skin backhand_index_pointing_right backhand_index_pointing_right Book an Appointment on 1 281 769 1251 amp Visit and location 900 katy fort bend rd katy texas 77494
